[E 171127 16:11:23 DataFether:83] timed out
[E 171127 16:11:33 DataFether:83] timed out
[I 171127 16:11:40 DataFether:80] all stock basics updated, total size=3455
[I 171127 16:37:23 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_002862&start=20170921&end=20171127&stat=1&order=D&period=d,size=3833, try=0
[I 171127 16:37:23 DataFether:171] 002862,20170921,42 history data download ok.
[I 171127 16:37:23 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_600865&start=20170921&end=20171127&stat=1&order=D&period=d,size=3798, try=0
[I 171127 16:37:23 DataFether:171] 600865,20170921,42 history data download ok.
[I 171127 16:37:24 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_600593&start=20170921&end=20171127&stat=1&order=D&period=d,size=3849, try=0
[I 171127 16:37:24 DataFether:171] 600593,20170921,42 history data download ok.
[I 171127 16:37:25 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_600980&start=20170921&end=20171127&stat=1&order=D&period=d,size=3877, try=0
[I 171127 16:37:25 DataFether:171] 600980,20170921,42 history data download ok.
[I 171127 16:37:26 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_000410&start=20170921&end=20171127&stat=1&order=D&period=d,size=2952, try=0
[I 171127 16:37:26 DataFether:171] 000410,20170921,33 history data download ok.
[I 171127 16:37:26 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_300277&start=20170921&end=20171127&stat=1&order=D&period=d,size=3194, try=0
[I 171127 16:37:26 DataFether:171] 300277,20170921,34 history data download ok.
[I 171127 16:37:27 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_600115&start=20170921&end=20171127&stat=1&order=D&period=d,size=3787, try=0
[I 171127 16:37:27 DataFether:171] 600115,20170921,42 history data download ok.
[I 171127 16:37:28 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_002248&start=20170921&end=20171127&stat=1&order=D&period=d,size=3710, try=0
[I 171127 16:37:28 DataFether:171] 002248,20170921,42 history data download ok.
[I 171127 16:37:28 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_000613&start=20170921&end=20171127&stat=1&order=D&period=d,size=3759, try=0
[I 171127 16:37:28 DataFether:171] 000613,20170921,42 history data download ok.
[I 171127 16:37:30 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_002251&start=20170921&end=20171127&stat=1&order=D&period=d,size=3905, try=0
[I 171127 16:37:30 DataFether:171] 002251,20170921,42 history data download ok.
[I 171127 16:37:31 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_002427&start=20170921&end=20171127&stat=1&order=D&period=d,size=3922, try=0
[I 171127 16:37:31 DataFether:171] 002427,20170921,42 history data download ok.
[I 171127 16:37:33 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_002046&start=20170921&end=20171127&stat=1&order=D&period=d,size=3778, try=0
[I 171127 16:37:33 DataFether:171] 002046,20170921,42 history data download ok.
[I 171127 16:37:34 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_601699&start=20170921&end=20171127&stat=1&order=D&period=d,size=3824, try=0
[I 171127 16:37:34 DataFether:171] 601699,20170921,42 history data download ok.
[I 171127 16:37:35 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_300215&start=20170921&end=20171127&stat=1&order=D&period=d,size=3881, try=0
[I 171127 16:37:35 DataFether:171] 300215,20170921,42 history data download ok.
[I 171127 16:37:36 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_603085&start=20170921&end=20171127&stat=1&order=D&period=d,size=3857, try=0
[I 171127 16:37:36 DataFether:171] 603085,20170921,42 history data download ok.
[I 171127 16:37:37 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_002058&start=20170921&end=20171127&stat=1&order=D&period=d,size=3823, try=0
[I 171127 16:37:37 DataFether:171] 002058,20170921,42 history data download ok.
[I 171127 16:37:38 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_002529&start=20170921&end=20171127&stat=1&order=D&period=d,size=3877, try=0
[I 171127 16:37:38 DataFether:171] 002529,20170921,42 history data download ok.
[I 171127 16:37:38 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_000541&start=20170921&end=20171127&stat=1&order=D&period=d,size=3722, try=0
[I 171127 16:37:38 DataFether:171] 000541,20170921,42 history data download ok.
[I 171127 16:37:39 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_000561&start=20170921&end=20171127&stat=1&order=D&period=d,size=3786, try=0
[I 171127 16:37:39 DataFether:171] 000561,20170921,42 history data download ok.
[I 171127 16:37:40 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_002142&start=20170921&end=20171127&stat=1&order=D&period=d,size=3957, try=0
[I 171127 16:37:40 DataFether:171] 002142,20170921,42 history data download ok.
[I 171127 16:37:41 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_002434&start=20170921&end=20171127&stat=1&order=D&period=d,size=3904, try=0
[I 171127 16:37:41 DataFether:171] 002434,20170921,42 history data download ok.
[I 171127 16:37:42 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_603997&start=20170921&end=20171127&stat=1&order=D&period=d,size=3878, try=0
[I 171127 16:37:42 DataFether:171] 603997,20170921,42 history data download ok.
[I 171127 16:37:43 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_600637&start=20170921&end=20171127&stat=1&order=D&period=d,size=3464, try=0
[I 171127 16:37:43 DataFether:171] 600637,20170921,37 history data download ok.
[I 171127 16:37:44 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_600711&start=20170921&end=20171127&stat=1&order=D&period=d,size=3816, try=0
[I 171127 16:37:44 DataFether:171] 600711,20170921,42 history data download ok.
[I 171127 16:37:45 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_603686&start=20170921&end=20171127&stat=1&order=D&period=d,size=3876, try=0
[I 171127 16:37:45 DataFether:171] 603686,20170921,42 history data download ok.
[I 171127 16:37:46 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_300323&start=20170921&end=20171127&stat=1&order=D&period=d,size=3925, try=0
[I 171127 16:37:46 DataFether:171] 300323,20170921,42 history data download ok.
[I 171127 16:37:47 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_002887&start=20170921&end=20171127&stat=1&order=D&period=d,size=3925, try=0
[I 171127 16:37:47 DataFether:171] 002887,20170921,42 history data download ok.
[I 171127 16:37:48 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_603757&start=20170921&end=20171127&stat=1&order=D&period=d,size=3887, try=0
[I 171127 16:37:48 DataFether:171] 603757,20170921,42 history data download ok.
[I 171127 16:37:49 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_002667&start=20170921&end=20171127&stat=1&order=D&period=d,size=3512, try=0
[I 171127 16:37:49 DataFether:171] 002667,20170921,38 history data download ok.
[I 171127 16:37:50 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_300570&start=20170921&end=20171127&stat=1&order=D&period=d,size=3958, try=0
[I 171127 16:37:50 DataFether:171] 300570,20170921,42 history data download ok.
[I 171127 16:37:51 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_002101&start=20170921&end=20171127&stat=1&order=D&period=d,size=3881, try=0
[I 171127 16:37:51 DataFether:171] 002101,20170921,42 history data download ok.
[I 171127 16:37:52 DataFether:145] url=http://q.stock.sohu.com/hisHq?code=cn_300567&start=20170921&end=20171127&stat=1&order=D&period=d,size=4028, try=0
[I 171127 16:37:52 DataFether:171] 300567,20170921,42 history data download ok.
